,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,n_experience_level,n_employment_type,n_company_size,job_title_str,remote_ratio_str
0,2020,MI,FT,Data Scientist,79833,0,L,1,3,3,0,0
1,2020,EN,FT,Data Analyst,72000,100,L,0,3,3,1,100
2,2020,MI,FT,Data Scientist,35735,50,L,1,3,3,0,50
3,2020,EN,FT,Data Scientist,51321,0,S,0,3,1,0,0
4,2020,MI,FT,Data Scientist,40481,0,L,1,3,3,0,0
5,2020,EN,FT,Data Scientist,39916,0,M,0,3,2,0,0
6,2020,MI,FT,Data Analyst,85000,100,L,1,3,3,1,100
7,2020,MI,FT,Data Analyst,8000,50,L,1,3,3,1,50
8,2020,SE,FT,Data Scientist,68428,100,L,2,3,3,0,100
9,2020,MI,FT,Data Analyst,46759,50,L,1,3,3,1,50
10,2020,EN,FT,Data Analyst,10000,100,S,0,3,1,1,100
11,2020,MI,FT,Data Scientist,45760,100,S,1,3,1,0,100
12,2020,MI,FT,Data Scientist,76958,100,S,1,3,1,0,100
13,2020,MI,FT,Data Scientist,105000,100,L,1,3,3,0,100
14,2020,EN,FT,Data Analyst,6072,0,S,0,3,1,1,0
15,2020,EN,FT,Data Analyst,91000,100,L,0,3,3,1,100
16,2020,MI,FT,Data Scientist,38776,100,M,1,3,2,0,100
17,2020,MI,FT,Data Scientist,118000,100,M,1,3,2,0,100
18,2020,SE,FT,Data Scientist,120000,50,L,2,3,3,0,50
19,2020,MI,FT,Data Scientist,138350,100,M,1,3,2,0,100
21,2020,SE,FT,Data Scientist,412000,100,L,2,3,3,0,100
22,2020,EN,FT,Data Scientist,62726,50,S,0,3,1,0,50
23,2020,EN,FT,Data Scientist,49268,0,S,0,3,1,0,0
24,2020,EN,FT,Data Scientist,105000,100,S,0,3,1,0,100
25,2020,SE,FT,Data Scientist,91237,0,S,2,3,1,0,0
26,2020,MI,FT,Data Scientist,62726,50,S,1,3,1,0,50
27,2020,MI,FT,Data Scientist,42197,50,S,1,3,1,0,50
28,2021,SE,FT,Data Scientist,53192,50,L,2,3,3,0,50
29,2021,EN,FT,Data Analyst,80000,100,M,0,3,2,1,100
30,2021,EN,FT,Data Analyst,59102,50,M,0,3,2,1,50
31,2021,SE,FT,Data Analyst,80000,100,S,2,3,1,1,100
32,2021,EN,FT,Data Scientist,29751,50,L,0,3,3,0,50
33,2021,MI,FT,Data Analyst,75000,0,L,1,3,3,1,0
34,2021,MI,FT,Data Analyst,62000,0,L,1,3,3,1,0
35,2021,MI,FT,Data Scientist,73000,0,L,1,3,3,0,0
36,2021,MI,FT,Data Analyst,51519,50,L,1,3,3,1,50
37,2021,MI,FT,Data Scientist,50000,100,L,1,3,3,0,100
38,2021,EN,FT,Data Analyst,90000,100,S,0,3,1,1,100
39,2021,EN,FT,Data Analyst,50000,100,M,0,3,2,1,100
41,2021,MI,FT,Data Scientist,9466,0,S,1,3,1,0,0
42,2021,EN,FT,Data Scientist,49646,50,M,0,3,2,0,50
43,2021,EN,FT,Data Scientist,100000,0,S,0,3,1,0,0
44,2021,MI,FT,Data Analyst,90000,100,M,1,3,2,1,100
45,2021,EN,FT,Data Scientist,80000,100,M,0,3,2,0,100
46,2021,MI,FT,Data Analyst,135000,100,L,1,3,3,1,100
47,2021,MI,FT,Data Scientist,82500,100,S,1,3,1,0,100
48,2021,MI,FT,Data Scientist,150000,100,M,1,3,2,0,100
49,2021,MI,FT,Data Scientist,75774,100,L,1,3,3,0,100
50,2021,EN,FT,Data Scientist,13400,100,L,0,3,3,0,100
51,2021,MI,FT,Data Scientist,119059,100,M,1,3,2,0,100
52,2021,EN,FT,Data Analyst,60000,100,S,0,3,1,1,100
53,2021,MI,FT,Data Scientist,2859,0,S,1,3,1,0,0
54,2021,MI,FT,Data Scientist,40038,100,L,1,3,3,0,100
55,2021,MI,FT,Data Scientist,5679,100,S,1,3,1,0,100
56,2021,MI,FT,Data Scientist,90734,50,L,1,3,3,0,50
57,2021,MI,FT,Data Scientist,147000,50,L,1,3,3,0,50
58,2021,MI,FT,Data Scientist,61467,50,M,1,3,2,0,50
59,2021,MI,FT,Data Scientist,37825,100,L,1,3,3,0,100
60,2021,MI,FT,Data Scientist,160000,100,L,1,3,3,0,100
61,2021,MI,FT,Data Scientist,12901,0,S,1,3,1,0,0
62,2021,MI,FT,Data Scientist,90734,50,L,1,3,3,0,50
63,2021,MI,FT,Data Scientist,116914,50,L,1,3,3,0,50
64,2021,MI,FT,Data Scientist,33808,0,M,1,3,2,0,0
65,2021,MI,FT,Data Scientist,56256,50,L,1,3,3,0,50
66,2021,SE,FT,Data Scientist,87738,100,S,2,3,1,0,100
67,2021,MI,FT,Data Scientist,88654,50,L,1,3,3,0,50
68,2021,SE,FT,Data Scientist,135000,0,L,2,3,3,0,0
69,2021,SE,FT,Data Analyst,71786,100,M,2,3,2,1,100
70,2021,SE,FT,Data Analyst,200000,100,L,2,3,3,1,100
71,2021,MI,FT,Data Scientist,46809,100,M,1,3,2,0,100
72,2021,EN,FT,Data Scientist,4000,0,M,0,3,2,0,0
73,2021,SE,FT,Data Scientist,103691,100,L,2,3,3,0,100
74,2021,MI,FT,Data Analyst,80000,100,L,1,3,3,1,100
75,2021,SE,FT,Data Scientist,165000,100,L,2,3,3,0,100
76,2021,EN,FT,Data Scientist,36643,50,L,0,3,3,0,50
77,2021,MI,FT,Data Scientist,115000,50,L,1,3,3,0,50
78,2021,EN,FT,Data Scientist,90000,100,S,0,3,1,0,100
79,2021,EN,FT,Data Scientist,28399,100,M,0,3,2,0,100
80,2021,MI,FT,Data Analyst,93000,100,L,1,3,3,1,100
81,2021,MI,FT,Data Scientist,130000,50,L,1,3,3,0,50
82,2021,SE,FT,Data Analyst,63831,50,L,2,3,3,1,50
83,2021,MI,FT,Data Scientist,16904,100,S,1,3,1,0,100
84,2021,MI,FT,Data Scientist,25532,100,S,1,3,1,0,100
85,2021,SE,FT,Data Scientist,77684,50,M,2,3,2,0,50
86,2021,EN,FT,Data Scientist,100000,100,M,0,3,2,0,100
87,2021,EN,FT,Data Scientist,58000,50,L,0,3,3,0,50
88,2021,SE,FT,Data Scientist,20171,50,L,2,3,3,0,50
89,2021,MI,FT,Data Scientist,109000,50,L,1,3,3,0,50
90,2022,SE,FT,Data Analyst,155000,100,M,2,3,2,1,100
91,2022,SE,FT,Data Analyst,120600,100,M,2,3,2,1,100
92,2022,MI,FT,Data Scientist,130000,0,M,1,3,2,0,0
93,2022,MI,FT,Data Scientist,90000,0,M,1,3,2,0,0
94,2022,SE,FT,Data Analyst,102100,100,M,2,3,2,1,100
95,2022,SE,FT,Data Analyst,84900,100,M,2,3,2,1,100
96,2022,SE,FT,Data Scientist,136620,100,M,2,3,2,0,100
97,2022,SE,FT,Data Scientist,99360,100,M,2,3,2,0,100
98,2022,SE,FT,Data Scientist,117789,0,M,2,3,2,0,0
99,2022,SE,FT,Data Scientist,104702,0,M,2,3,2,0,0
100,2022,SE,FT,Data Scientist,146000,100,M,2,3,2,0,100
101,2022,SE,FT,Data Scientist,123000,100,M,2,3,2,0,100
102,2022,SE,FT,Data Analyst,99000,0,M,2,3,2,1,0
103,2022,SE,FT,Data Analyst,116000,0,M,2,3,2,1,0
104,2022,MI,FT,Data Analyst,106260,0,M,1,3,2,1,0
105,2022,MI,FT,Data Analyst,126500,0,M,1,3,2,1,0
106,2022,MI,FT,Data Scientist,65438,0,M,1,3,2,0,0
107,2022,MI,FT,Data Scientist,39263,0,M,1,3,2,0,0
108,2022,SE,FT,Data Scientist,165220,100,M,2,3,2,0,100
109,2022,SE,FT,Data Scientist,120160,100,M,2,3,2,0,100
110,2022,SE,FT,Data Analyst,90320,100,M,2,3,2,1,100
111,2022,SE,FT,Data Scientist,180000,0,L,2,3,3,0,0
112,2022,SE,FT,Data Scientist,120000,0,L,2,3,3,0,0
113,2022,SE,FT,Data Analyst,124190,100,M,2,3,2,1,100
114,2022,EX,FT,Data Analyst,130000,100,M,3,3,2,1,100
115,2022,EX,FT,Data Analyst,110000,100,M,3,3,2,1,100
116,2022,SE,FT,Data Analyst,170000,100,M,2,3,2,1,100
117,2022,MI,FT,Data Analyst,115500,100,M,1,3,2,1,100
118,2022,SE,FT,Data Analyst,112900,100,M,2,3,2,1,100
119,2022,SE,FT,Data Analyst,90320,100,M,2,3,2,1,100
120,2022,SE,FT,Data Analyst,112900,100,M,2,3,2,1,100
121,2022,SE,FT,Data Analyst,90320,100,M,2,3,2,1,100
122,2022,MI,FT,Data Analyst,167000,100,M,1,3,2,1,100
123,2022,SE,FT,Data Analyst,136600,100,M,2,3,2,1,100
124,2022,SE,FT,Data Analyst,109280,100,M,2,3,2,1,100
125,2022,SE,FT,Data Scientist,95550,0,M,2,3,2,0,0
126,2022,SE,FT,Data Analyst,135000,100,M,2,3,2,1,100
127,2022,SE,FT,Data Scientist,167000,100,M,2,3,2,0,100
128,2022,SE,FT,Data Scientist,123000,100,M,2,3,2,0,100
129,2022,SE,FT,Data Scientist,150000,0,M,2,3,2,0,0
130,2022,SE,FT,Data Scientist,211500,100,M,2,3,2,0,100
131,2022,SE,FT,Data Analyst,130000,100,M,2,3,2,1,100
132,2022,SE,FT,Data Analyst,61300,100,M,2,3,2,1,100
133,2022,SE,FT,Data Analyst,130000,100,M,2,3,2,1,100
134,2022,SE,FT,Data Analyst,61300,100,M,2,3,2,1,100
135,2022,SE,FT,Data Scientist,138600,100,M,2,3,2,0,100
136,2022,MI,FT,Data Analyst,58000,0,S,1,3,1,1,0
137,2022,SE,FT,Data Scientist,170000,100,M,2,3,2,0,100
138,2022,SE,FT,Data Scientist,123000,100,M,2,3,2,0,100
139,2022,SE,FT,Data Analyst,132000,0,M,2,3,2,1,0
140,2022,SE,FT,Data Analyst,128875,100,M,2,3,2,1,100
141,2022,SE,FT,Data Analyst,93700,100,M,2,3,2,1,100
142,2022,SE,FT,Data Analyst,164000,0,M,2,3,2,1,0
143,2022,SE,FT,Data Analyst,112900,100,M,2,3,2,1,100
144,2022,SE,FT,Data Analyst,90320,100,M,2,3,2,1,100
145,2022,SE,FT,Data Scientist,215300,100,L,2,3,3,0,100
146,2022,SE,FT,Data Scientist,158200,100,L,2,3,3,0,100
147,2022,SE,FT,Data Analyst,115934,0,M,2,3,2,1,0
148,2022,SE,FT,Data Analyst,81666,0,M,2,3,2,1,0
149,2022,MI,FT,Data Analyst,58000,0,S,1,3,1,1,0
150,2022,MI,FT,Data Analyst,52351,100,M,1,3,2,1,100
151,2022,SE,FT,Data Scientist,180000,100,M,2,3,2,0,100
152,2022,MI,FT,Data Scientist,71982,0,M,1,3,2,0,0
153,2022,MI,FT,Data Scientist,45807,0,M,1,3,2,0,0
154,2022,SE,FT,Data Scientist,260000,100,M,2,3,2,0,100
155,2022,SE,FT,Data Scientist,180000,0,M,2,3,2,0,0
156,2022,SE,FT,Data Scientist,80000,0,M,2,3,2,0,0
157,2022,SE,FT,Data Scientist,140400,0,L,2,3,3,0,0
158,2022,MI,FT,Data Analyst,39263,100,M,1,3,2,1,100
159,2022,MI,FT,Data Analyst,43966,100,M,1,3,2,1,100
160,2022,MI,FT,Data Analyst,32974,100,M,1,3,2,1,100
161,2022,MI,FT,Data Analyst,43966,100,M,1,3,2,1,100
162,2022,MI,FT,Data Analyst,32974,100,M,1,3,2,1,100
163,2022,SE,FT,Data Scientist,215300,0,L,2,3,3,0,0
164,2022,MI,FT,Data Scientist,31615,100,L,1,3,3,0,100
165,2022,EN,FT,Data Scientist,18442,100,M,0,3,2,0,100
166,2022,SE,FT,Data Scientist,104890,100,M,2,3,2,0,100
167,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
168,2022,MI,FT,Data Analyst,135000,100,M,1,3,2,1,100
169,2022,MI,FT,Data Analyst,50000,100,M,1,3,2,1,100
170,2022,SE,FT,Data Scientist,220000,100,M,2,3,2,0,100
171,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
172,2022,MI,FT,Data Scientist,183228,0,M,1,3,2,0,0
173,2022,MI,FT,Data Scientist,91614,0,M,1,3,2,0,0
174,2022,SE,FT,Data Scientist,185100,100,M,2,3,2,0,100
175,2022,MI,FT,Data Scientist,200000,100,M,1,3,2,0,100
176,2022,MI,FT,Data Scientist,120000,100,M,1,3,2,0,100
177,2022,SE,FT,Data Scientist,230000,100,M,2,3,2,0,100
180,2022,MI,FT,Data Scientist,35590,100,L,1,3,3,0,100
181,2022,SE,FT,Data Scientist,100000,100,M,2,3,2,0,100
182,2022,SE,FT,Data Scientist,165000,100,M,2,3,2,0,100
183,2022,EN,FT,Data Scientist,52396,100,L,0,3,3,0,100
184,2022,EN,FT,Data Scientist,40000,100,L,0,3,3,0,100
185,2022,EN,FT,Data Scientist,86703,50,M,0,3,2,0,50
186,2022,MI,FT,Data Scientist,48000,100,S,1,3,1,0,100
187,2022,MI,FT,Data Scientist,122346,0,L,1,3,3,0,0
188,2022,MI,FT,Data Scientist,69336,100,M,1,3,2,0,100
189,2022,MI,FT,Data Analyst,20000,100,S,1,3,1,1,100
190,2022,MI,FT,Data Scientist,135000,100,L,1,3,3,0,100
191,2022,MI,FT,Data Scientist,78000,100,M,1,3,2,0,100
192,2022,SE,FT,Data Analyst,135000,100,M,2,3,2,1,100
193,2022,SE,FT,Data Analyst,100000,100,M,2,3,2,1,100
194,2022,SE,FT,Data Analyst,90320,100,M,2,3,2,1,100
195,2022,MI,FT,Data Analyst,85000,0,M,1,3,2,1,0
196,2022,MI,FT,Data Analyst,75000,0,M,1,3,2,1,0
197,2022,SE,FT,Data Analyst,112900,100,M,2,3,2,1,100
198,2022,MI,FT,Data Scientist,141300,0,M,1,3,2,0,0
199,2022,MI,FT,Data Scientist,102100,0,M,1,3,2,0,0
200,2022,SE,FT,Data Analyst,115934,100,M,2,3,2,1,100
201,2022,SE,FT,Data Analyst,81666,100,M,2,3,2,1,100
202,2022,SE,FT,Data Analyst,99050,100,M,2,3,2,1,100
203,2022,SE,FT,Data Scientist,205300,0,L,2,3,3,0,0
204,2022,SE,FT,Data Scientist,140400,0,L,2,3,3,0,0
205,2022,SE,FT,Data Scientist,176000,100,M,2,3,2,0,100
206,2022,SE,FT,Data Scientist,144000,100,M,2,3,2,0,100
207,2022,SE,FT,Data Scientist,205300,0,M,2,3,2,0,0
208,2022,SE,FT,Data Scientist,140400,0,M,2,3,2,0,0
209,2022,SE,FT,Data Analyst,116150,100,M,2,3,2,1,100
210,2022,SE,FT,Data Analyst,170000,100,M,2,3,2,1,100
211,2022,MI,FT,Data Analyst,65438,0,M,1,3,2,1,0
212,2022,SE,FT,Data Analyst,80000,100,M,2,3,2,1,100
213,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
214,2022,SE,FT,Data Scientist,210000,100,M,2,3,2,0,100
215,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
216,2022,SE,FT,Data Analyst,100000,100,M,2,3,2,1,100
217,2022,SE,FT,Data Analyst,69000,100,M,2,3,2,1,100
218,2022,SE,FT,Data Scientist,210000,100,M,2,3,2,0,100
219,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
220,2022,SE,FT,Data Scientist,210000,100,M,2,3,2,0,100
221,2022,SE,FT,Data Analyst,150075,100,M,2,3,2,1,100
222,2022,SE,FT,Data Analyst,126500,100,M,2,3,2,1,100
223,2022,SE,FT,Data Analyst,106260,100,M,2,3,2,1,100
224,2022,SE,FT,Data Analyst,105000,100,M,2,3,2,1,100
225,2022,SE,FT,Data Analyst,110925,100,M,2,3,2,1,100
226,2022,MI,FT,Data Analyst,45807,0,M,1,3,2,1,0
227,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
228,2022,SE,FT,Data Analyst,99000,0,M,2,3,2,1,0
229,2022,SE,FT,Data Analyst,60000,100,M,2,3,2,1,100
230,2022,SE,FT,Data Scientist,230000,100,M,2,3,2,0,100
231,2022,SE,FT,Data Scientist,150000,100,M,2,3,2,0,100
232,2022,SE,FT,Data Scientist,210000,100,M,2,3,2,0,100
233,2022,SE,FT,Data Analyst,170000,100,M,2,3,2,1,100
234,2022,MI,FT,Data Scientist,160000,100,M,1,3,2,0,100
235,2022,MI,FT,Data Scientist,130000,100,M,1,3,2,0,100
236,2022,EN,FT,Data Analyst,67000,0,M,0,3,2,1,0
237,2022,EN,FT,Data Analyst,52000,0,M,0,3,2,1,0
238,2022,SE,FT,Data Analyst,129000,0,M,2,3,2,1,0
239,2022,SE,FT,Data Analyst,150000,100,M,2,3,2,1,100
